# Sectioned map data CSV for London.
# Each section starts with its own header row.

[MAP]
section,map_type,display_name,background_image_path,destination_ticket_back_image_path
MAP,LONDON,London,/gamemap/londonMapBg.png,/DestinationTicket_London/DestinationCard.jpeg

[CITY]
section,map_type,city_id,city_name,x,y
CITY,LONDON,BAKER_STREET,Baker Street,245,215
CITY,LONDON,BRICK_LANE,Brick Lane,900,180
CITY,LONDON,BRITISH_MUSEUM,British Museum,420,285
CITY,LONDON,BUCKINGHAM_PALACE,Buckingham Palace,390,575
CITY,LONDON,BIG_BEN,Big Ben,560,565
CITY,LONDON,COVENT_GARDEN,Covent Garden,535,385
CITY,LONDON,ELEPHANT_AND_CASTLE,Elephant & Castle,880,585
CITY,LONDON,GLOBE_THEATRE,Globe Theatre,760,450
CITY,LONDON,HYDE_PARK,Hyde Park,150,540
CITY,LONDON,KING_CROSS,King's Cross,535,95
CITY,LONDON,PADDINGTON,Paddington,140,310
CITY,LONDON,PICCADILLY_CIRCUS,Piccadilly Circus,295,390
CITY,LONDON,REGENT_PADDINGTON,Regent's Park,200,105
CITY,LONDON,ST_PAULS,St. Paul's,710,320
CITY,LONDON,THE_CHARTERHOUSE,The Charterhouse,665,220
CITY,LONDON,TOWER_OF_LONDON,Tower of London,915,360
CITY,LONDON,TRAFALGAR_SQUARE,Trafalgar Square,490,450
CITY,LONDON,WATERLOO,Waterloo,660,510

[ROUTE]
section,map_type,route_id,city_a_id,city_b_id,length,color,claimable_type,locomotive_count
ROUTE,LONDON,R15,GLOBE_THEATRE,ELEPHANT_AND_CASTLE,3,GRAY,ROUTE,0
ROUTE,LONDON,R16,GLOBE_THEATRE,ELEPHANT_AND_CASTLE,3,BLACK,ROUTE,0
ROUTE,LONDON,R17,REGENT_PADDINGTON,KING_CROSS,3,GREEN,FERRY,2
ROUTE,LONDON,R18,KING_CROSS,THE_CHARTERHOUSE,3,PURPLE,FERRY,1
ROUTE,LONDON,R19,THE_CHARTERHOUSE,BRICK_LANE,3,GREEN,FERRY,2
ROUTE,LONDON,R20,THE_CHARTERHOUSE,ST_PAULS,2,YELLOW,ROUTE,0
ROUTE,LONDON,R21,THE_CHARTERHOUSE,TOWER_OF_LONDON,3,BLUE,ROUTE,0
ROUTE,LONDON,R22,BRICK_LANE,TOWER_OF_LONDON,3,ORANGE,FERRY,1
ROUTE,LONDON,R23,BAKER_STREET,PADDINGTON,1,GRAY,ROUTE,0
ROUTE,LONDON,R24,PADDINGTON,PICCADILLY_CIRCUS,2,BLACK,ROUTE,0
ROUTE,LONDON,R25,PICCADILLY_CIRCUS,COVENT_GARDEN,2,GREEN,ROUTE,0
ROUTE,LONDON,R26,PICCADILLY_CIRCUS,TRAFALGAR_SQUARE,2,RED,ROUTE,0
ROUTE,LONDON,R27,HYDE_PARK,PICCADILLY_CIRCUS,2,PURPLE,ROUTE,0
ROUTE,LONDON,R28,COVENT_GARDEN,TRAFALGAR_SQUARE,1,BLUE,ROUTE,0
ROUTE,LONDON,R29,TRAFALGAR_SQUARE,GLOBE_THEATRE,3,YELLOW,ROUTE,0
ROUTE,LONDON,R30,WATERLOO,GLOBE_THEATRE,2,BLUE,ROUTE,0
ROUTE,LONDON,R31,WATERLOO,ELEPHANT_AND_CASTLE,2,ORANGE,ROUTE,0
ROUTE,LONDON,R32,BIG_BEN,WATERLOO,1,PURPLE,ROUTE,0
ROUTE,LONDON,R33,BIG_BEN,TRAFALGAR_SQUARE,2,GRAY,ROUTE,0
ROUTE,LONDON,R34,BUCKINGHAM_PALACE,BIG_BEN,3,GREEN,ROUTE,0
ROUTE,LONDON,R35,BUCKINGHAM_PALACE,TRAFALGAR_SQUARE,3,GRAY,ROUTE,0
ROUTE,LONDON,R36,BRITISH_MUSEUM,KING_CROSS,2,BLACK,ROUTE,0
ROUTE,LONDON,R37,BRITISH_MUSEUM,PICCADILLY_CIRCUS,2,PURPLE,ROUTE,0
ROUTE,LONDON,R38,BAKER_STREET,KING_CROSS,3,RED,ROUTE,0
ROUTE,LONDON,R39,REGENT_PADDINGTON,PADDINGTON,2,BLUE,ROUTE,0
ROUTE,LONDON,R40,TOWER_OF_LONDON,ELEPHANT_AND_CASTLE,3,RED,ROUTE,0

[TICKET]
section,map_type,ticket_id,city_a_id,city_b_id,points,image_path
TICKET,LONDON,LDT01,PICCADILLY_CIRCUS,COVENT_GARDEN,2,/DestinationTicket_London/DT1_score2.png
TICKET,LONDON,LDT02,BIG_BEN,WATERLOO,2,/DestinationTicket_London/DT2_score2.png
TICKET,LONDON,LDT03,BIG_BEN,TRAFALGAR_SQUARE,3,/DestinationTicket_London/DT1_score3.png
TICKET,LONDON,LDT04,REGENT_PADDINGTON,BAKER_STREET,3,/DestinationTicket_London/DT2_score3.png
TICKET,LONDON,LDT05,TOWER_OF_LONDON,ST_PAULS,4,/DestinationTicket_London/DT1_score4.png
TICKET,LONDON,LDT06,THE_CHARTERHOUSE,BRICK_LANE,4,/DestinationTicket_London/DT2_score4.png
TICKET,LONDON,LDT07,HYDE_PARK,COVENT_GARDEN,5,/DestinationTicket_London/DT1_score5.png
TICKET,LONDON,LDT08,BUCKINGHAM_PALACE,WATERLOO,5,/DestinationTicket_London/DT1_score5.png
TICKET,LONDON,LDT09,BRITISH_MUSEUM,ST_PAULS,6,/DestinationTicket_London/DT1_score6.png
TICKET,LONDON,LDT10,KING_CROSS,THE_CHARTERHOUSE,6,/DestinationTicket_London/DT2_score6.png
TICKET,LONDON,LDT11,PADDINGTON,PICCADILLY_CIRCUS,6,/DestinationTicket_London/DT3_score6.png
TICKET,LONDON,LDT12,KING_CROSS,BAKER_STREET,7,/DestinationTicket_London/DT1_score7.png
TICKET,LONDON,LDT13,BAKER_STREET,BUCKINGHAM_PALACE,7,/DestinationTicket_London/DT2_score7.png
TICKET,LONDON,LDT14,KING_CROSS,GLOBE_THEATRE,8,/DestinationTicket_London/DT1_score8.png
TICKET,LONDON,LDT15,THE_CHARTERHOUSE,TOWER_OF_LONDON,8,/DestinationTicket_London/DT2_score8.png
TICKET,LONDON,LDT16,GLOBE_THEATRE,ELEPHANT_AND_CASTLE,8,/DestinationTicket_London/DT3_score8.png
TICKET,LONDON,LDT17,PADDINGTON,TOWER_OF_LONDON,9,/DestinationTicket_London/DT1_score9.png
TICKET,LONDON,LDT18,BAKER_STREET,GLOBE_THEATRE,9,/DestinationTicket_London/DT2_score9.png
TICKET,LONDON,LDT19,REGENT_PADDINGTON,ELEPHANT_AND_CASTLE,10,/DestinationTicket_London/DT1_score10.png
TICKET,LONDON,LDT20,HYDE_PARK,BRICK_LANE,10,/DestinationTicket_London/DT1_score10.png
TICKET,LONDON,LDT21,PADDINGTON,WATERLOO,11,/DestinationTicket_London/DT1_score11.png
TICKET,LONDON,LDT22,REGENT_PADDINGTON,TOWER_OF_LONDON,11,/DestinationTicket_London/DT2_score11.png
